id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,ingested_at,popularity_category
1250841,Hair of the Bear,2026-02-26 00:00:00 UTC,6.6563,6.333,3,"[18, 53]","Refusing to go to school, anxious 16-year-old Tori is driven by her mother to her grandfather's rustic cabin in Eastern Manitoba on the remote American-Canadian border. As Tori struggles to adapt to the woodsman ways of her French Canadian grandfather, she ultimately must embrace the outdoors if she is to survive the deadly game of cat and mouse she is thrust into.",2026-06-14T21:38:55.836513,Low
1263012,Dead Man's Wire,2026-01-09 00:00:00 UTC,5.728,6.49,146,"[80, 18, 53]","In 1977, former real estate developer Tony Kiritsis puts a dead man's switch on himself and the mortgage banker who did him wrong, demanding $5 million and a personal apology.",2026-06-14T21:38:55.836513,Low
1266127,Ready or Not: Here I Come,2026-03-19 00:00:00 UTC,40.7545,7.696,1035,"[53, 27, 35]","Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",2026-06-14T21:38:55.836513,Low
1283636,Find Your Friends,2025-07-18 00:00:00 UTC,6.1511,5.5,4,[53],"Amber and her four best girlfriends take a trip to escape the L.A. bubble and cut loose in Joshua Tree for the weekend. But upon arrival, they quickly realize the locals don’t want them there.",2026-06-14T21:38:55.836513,Low
1284465,The Death of Robin Hood,2026-06-18 00:00:00 UTC,9.3462,8.5,2,"[18, 53]","Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation.",2026-06-14T21:38:55.836513,Low
1285959,The Passenger,2026-06-05 00:00:00 UTC,10.987,5.8,15,[53],"Hassan, a Somali-American airport shuttle driver in Minneapolis, is struggling to make ends meet. When Lloyd, a stranded twenty-something at the airport, offers to pay Hassan to take him overland to Chicago, it seems worth the risk. But as the realization grows that his passenger is not what he seems, Hassan finds himself trapped in a terrifying ride that he can’t escape, knowing that saving himself might put countless others in danger.",2026-06-14T21:38:55.836513,Low
1292695,They Will Kill You,2026-03-25 00:00:00 UTC,43.0122,7.05,733,"[27, 35, 28]","A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult.",2026-06-14T21:38:55.836513,Low
1301421,The Sheep Detectives,2026-04-30 00:00:00 UTC,30.7103,7.64,161,"[35, 10751, 9648]","George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",2026-06-14T21:38:55.836513,Low
1314481,The Devil Wears Prada 2,2026-04-29 00:00:00 UTC,42.6065,6.6,799,"[35, 18]","Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",2026-06-14T21:38:55.836513,Low
1325614,Badland Rising,2026-06-12 00:00:00 UTC,7.5176,5,1,"[28, 80]","An ordinary bloke embarks on a 19-hour drive home, unaware of being pursued by two unhinged criminals. Once he discovers their motive, his journey turns into a brutal fight for survival.",2026-06-14T21:38:55.836513,Low
1330021,Remarkably Bright Creatures,2026-05-07 00:00:00 UTC,35.384,8.568,609,"[18, 9648]","Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",2026-06-14T21:38:55.836513,Low
1363387,Saccharine,2026-05-22 00:00:00 UTC,29.8745,6.321,14,[27],"After succumbing to an obscure weight-loss craze involving the eating of human ashes, lovelorn medical student Hana finds herself haunted by the ghost of the person she's eating.",2026-06-14T21:38:55.836513,Low
1368314,Passenger,2026-05-20 00:00:00 UTC,19.3463,6.2,66,"[27, 53]","After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.",2026-06-14T21:38:55.836513,Low
